user,VIP,dynamic,foucs,fans,district,listen_songs,acclaim,comment,time,content
懜游柰子,False,2,16,2,北京市 ,4242,0,0,2020-06-22 14:55:43,第一次听，还是第二分手，现在已经经历了复合-分手-复合-结婚-离婚，与同一个人～～还真是愚人的国度
小新同学321,False,0,8,4,安徽省 - 合肥市,924,0,1,2020-06-22 14:31:31,2011年的专辑啊？
DYLM-L,False,1,3,4,,1032,0,0,2020-06-22 12:29:57,苦酒折柳今相离，
特么昵称都被谁用了,False,0,4,11,湖北省 - 武汉市,14123,0,0,2020-06-22 12:25:07,"热评都是5,6年前的，时间过得好快"
特么昵称都被谁用了,False,0,4,11,湖北省 - 武汉市,14123,0,1,2020-06-22 12:22:17,一回眸，轻舟已过十年长河
跟江璃回家嘛,False,0,15,1,江西省 - 赣州市,1226,0,1,2020-06-22 11:29:27,杀死那个石家庄人
莲灯梦,True,0,14,2,,6353,0,1,2020-06-22 11:24:02,吧。。。拜拜拜拜
水手李1995,True,18,112,55,辽宁省 - 葫芦岛市,2393,0,0,2020-06-22 11:18:23,好听
大老戚哟,False,2,15,9,山东省 - 威海市,15131,0,1,2020-06-22 01:41:44,都内部消化了啊……
澤安先生,True,104,163,35,广东省 - 广州市,5738,0,0,2020-06-22 00:27:33,认真爱人的那个人，纵使愚人 但真真贵
孤独的Alice_jjyl,True,31,13,4,江苏省 - 苏州市,1936,0,0,2020-06-22 00:01:50,真的好好听啊！
江湖人说_你不行,False,3,16,4,贵州省 - 毕节地区,6240,0,0,2020-06-21 23:53:44,就如“苏东坡效应”一般
淼子LM,False,4,2,4,内蒙古 - 兴安盟,6144,0,0,2020-06-21 22:31:31,后来悲伤的习惯了，忘了为什么悲伤
镜笙葉守,True,12,121,12,福建省 - 宁德市,2631,0,1,2020-06-21 15:17:52,每个人都不一样吗，我好朋友喜欢说唱我不喜欢，我也只是说我不是很欣赏的来
了凡liaofan_,False,55,52,14,内蒙古 - 呼和浩特市,1592,0,1,2020-06-21 13:41:41,哈哈哈 我把所有的评论看完了 祝福你们哦[憨笑]
阿汐昂,True,1,22,0,广东省 - 汕头市,1487,1,0,2020-06-21 10:50:09,燕姿有不好听的歌吗？？？？
Kira_Sky,False,2,7,4,黑龙江省 - 哈尔滨市,5953,0,0,2020-06-21 08:02:35,好听
不回头的晚风,False,0,8,2,广东省 - 深圳市,2561,0,0,2020-06-21 03:14:35,怎么越听越好听哦
_白巧儿汋_,False,22,24,18,山东省 - 济宁市,3913,0,1,2020-06-20 23:41:06,他们那个时代的歌手基本都能随便拿出一首歌去震一震现在的乐坛
